customer_id,recency_days,purchase_frequency,avg_order_value,email_open_rate,session_frequency,support_tickets,customer_tier,vip_flag,ltv,churn_label
CUST_00205,113,49,268.68,0.07,99,9,Silver,0,13165.32,0
CUST_00206,2,6,143.79,0.52,98,7,Bronze,0,862.74,0
CUST_00207,130,26,455.16,0.6,68,7,Bronze,0,11834.16,0
CUST_00208,220,8,237.62,0.74,88,2,Silver,1,1900.96,0
CUST_00209,54,35,217.84,0.34,36,3,Bronze,0,7624.4,0
CUST_00210,343,27,426.38,0.59,58,7,Bronze,0,11512.26,1
CUST_00211,224,25,162.87,0.73,28,4,Bronze,1,4071.75,0
CUST_00212,225,18,410.56,0.76,39,0,Gold,0,7390.08,0
CUST_00213,126,1,69.91,0.3,66,6,Bronze,1,69.91,0
CUST_00214,130,48,99.57,0.07,43,2,Bronze,0,4779.36,0
CUST_00215,53,39,475.91,0.04,5,1,Bronze,0,18560.49,0
CUST_00216,172,3,422.8,0.77,92,9,Silver,0,1268.4,0
CUST_00217,218,4,200.07,0.39,13,4,Silver,0,800.28,1
CUST_00218,160,41,322.84,0.13,9,0,Bronze,0,13236.44,0
CUST_00219,198,37,472.06,0.18,94,8,Bronze,0,17466.22,0
CUST_00220,247,15,113.81,0.77,57,9,Bronze,0,1707.15,0
CUST_00221,324,8,38.92,0.6,27,4,Silver,0,311.36,1
CUST_00222,203,38,273.36,0.5,61,5,Bronze,0,10387.68,0
CUST_00223,184,19,79.87,0.62,77,6,Bronze,0,1517.53,0
CUST_00224,123,47,101.79,0.14,50,8,Bronze,0,4784.13,0
CUST_00225,255,26,446.85,0.32,92,4,Bronze,0,11618.1,1
CUST_00226,294,39,13.63,0.37,82,3,Bronze,0,531.57,0
CUST_00227,280,10,410.24,0.31,34,2,Bronze,1,4102.4,0
CUST_00228,325,38,263.31,0.86,85,4,Bronze,1,10005.78,0
CUST_00229,98,14,284.05,0.58,65,9,Silver,0,3976.7,0
CUST_00230,198,49,339.17,0.73,45,9,Bronze,0,16619.33,0
CUST_00231,240,41,221.41,0.24,87,2,Bronze,0,9077.81,0
CUST_00232,144,19,66.65,0.26,34,4,Bronze,0,1266.35,0
CUST_00233,97,30,60.38,0.23,73,7,Bronze,0,1811.4,0
CUST_00234,201,5,379.64,0.69,8,1,Bronze,0,1898.2,0
CUST_00235,124,31,118.31,0.35,94,3,Gold,0,3667.61,0
CUST_00236,187,7,23.77,0.41,48,7,Bronze,0,166.39,1
CUST_00237,326,19,490.01,0.71,36,4,Bronze,0,9310.19,0
CUST_00238,349,31,490.39,0.97,82,7,Silver,1,15202.09,0
CUST_00239,259,39,195.29,0.16,66,5,Bronze,1,7616.31,0
CUST_00240,148,24,22.51,0.06,11,0,Silver,0,540.24,0
CUST_00241,252,34,366.36,0.19,52,4,Silver,0,12456.24,0
CUST_00242,346,23,417.2,0.73,36,9,Silver,0,9595.6,1
CUST_00243,147,48,71.26,0.19,95,1,Bronze,0,3420.48,0
CUST_00244,148,45,76.37,0.58,31,6,Gold,0,3436.65,0
CUST_00245,352,40,412.89,0.59,24,9,Bronze,0,16515.6,1
CUST_00246,199,6,461.73,0.29,21,3,Silver,0,2770.38,1
CUST_00247,308,38,397.47,0.07,96,1,Bronze,0,15103.86,1
CUST_00248,128,41,108.37,0.4,30,0,Gold,0,4443.17,0
CUST_00249,39,36,211.65,0.19,72,4,Bronze,0,7619.4,0
CUST_00250,338,27,304.41,0.18,97,9,Bronze,1,8219.07,1
CUST_00251,360,11,88.54,0.52,64,7,Silver,0,973.94,1
CUST_00252,129,5,113.2,0.67,39,7,Bronze,1,566.0,0
CUST_00253,267,17,148.61,0.08,1,9,Bronze,0,2526.37,1
CUST_00254,151,7,259.66,0.58,97,1,Bronze,0,1817.62,0
CUST_00255,298,27,260.29,0.25,42,5,Bronze,0,7027.83,1
CUST_00256,99,47,409.0,0.67,77,6,Bronze,0,19223.0,0
CUST_00257,263,15,378.97,0.81,86,9,Bronze,1,5684.55,0
CUST_00258,252,46,457.73,0.81,5,0,Bronze,0,21055.58,0
CUST_00259,144,13,418.12,0.37,12,4,Bronze,1,5435.56,0
CUST_00260,346,11,134.4,0.57,29,5,Bronze,0,1478.4,1
CUST_00261,112,45,172.34,0.79,3,6,Silver,0,7755.3,0
CUST_00262,60,26,255.21,0.06,61,8,Silver,0,6635.46,0
CUST_00263,2,22,16.99,0.61,51,2,Silver,0,373.78,0
CUST_00264,304,28,452.91,0.84,36,7,Silver,0,12681.48,0
CUST_00265,254,24,31.73,0.37,75,9,Gold,0,761.52,1
CUST_00266,140,29,168.0,0.46,90,2,Bronze,0,4872.0,0
CUST_00267,37,9,288.9,0.7,2,8,Gold,1,2600.1,0
CUST_00268,160,42,263.74,0.07,29,7,Gold,0,11077.08,0
CUST_00269,9,4,330.69,0.39,41,8,Bronze,0,1322.76,0
CUST_00270,233,49,268.48,0.3,29,4,Bronze,0,13155.52,0
CUST_00271,99,46,122.21,0.02,64,8,Bronze,0,5621.66,0
CUST_00272,147,18,108.53,0.2,58,2,Bronze,1,1953.54,0
CUST_00273,304,43,454.55,0.4,83,6,Silver,0,19545.65,0
CUST_00274,208,16,139.34,0.2,10,2,Silver,1,2229.44,0
CUST_00275,131,33,147.68,0.6,11,5,Bronze,0,4873.44,0
CUST_00276,152,29,212.35,0.45,7,7,Bronze,1,6158.15,0
CUST_00277,54,39,78.32,0.04,77,1,Bronze,0,3054.48,0
CUST_00278,120,10,258.56,0.28,61,7,Bronze,1,2585.6,0
CUST_00279,161,9,335.87,0.02,66,0,Bronze,0,3022.83,1
CUST_00280,116,31,395.14,0.36,94,3,Silver,0,12249.34,0
CUST_00281,75,28,358.61,0.26,86,6,Silver,0,10041.08,0
CUST_00282,113,3,82.34,0.69,53,0,Silver,0,247.02,0
CUST_00283,104,14,233.47,0.31,65,5,Silver,0,3268.58,0
CUST_00284,340,25,28.91,0.38,27,9,Bronze,0,722.75,1
CUST_00285,254,15,18.72,0.73,7,5,Bronze,0,280.8,0
CUST_00286,227,2,225.66,0.48,65,6,Bronze,0,451.32,1
CUST_00287,112,24,133.95,0.56,58,8,Bronze,0,3214.8,0
CUST_00288,99,14,344.85,0.84,25,6,Bronze,1,4827.9,0
CUST_00289,153,48,364.88,0.21,48,2,Bronze,1,17514.24,0
CUST_00290,349,7,448.75,0.99,4,3,Bronze,1,3141.25,0
CUST_00291,338,36,382.73,0.9,94,0,Bronze,0,13778.28,0
CUST_00292,194,24,33.64,0.29,8,4,Bronze,1,807.36,0
CUST_00293,310,27,192.1,0.89,85,6,Bronze,0,5186.7,0
CUST_00294,163,37,143.78,0.75,68,2,Bronze,1,5319.86,0
CUST_00295,208,38,199.2,0.93,60,5,Bronze,0,7569.6,0
CUST_00296,169,30,88.44,0.69,4,2,Bronze,1,2653.2,0
CUST_00297,161,27,57.88,0.67,8,3,Gold,0,1562.76,0
CUST_00298,68,39,265.28,0.0,90,4,Bronze,0,10345.92,0
CUST_00299,289,15,362.99,0.47,93,5,Bronze,0,5444.85,1
CUST_00300,277,26,353.94,0.2,16,5,Silver,0,9202.44,1
CUST_00301,304,1,230.96,0.32,19,0,Bronze,0,230.96,1
CUST_00302,135,4,265.92,0.98,1,7,Bronze,0,1063.68,0
CUST_00303,195,29,263.0,0.09,34,2,Silver,0,7627.0,0
CUST_00304,128,1,348.87,0.72,93,3,Bronze,0,348.87,0
CUST_00305,33,43,33.48,0.17,91,7,Bronze,0,1439.64,0
CUST_00306,176,46,357.85,0.01,45,4,Bronze,0,16461.1,0
CUST_00307,22,22,295.28,0.5,63,5,Bronze,0,6496.16,0
CUST_00308,238,11,107.07,0.16,94,0,Bronze,0,1177.77,1
CUST_00309,158,10,34.04,0.97,6,7,Bronze,0,340.4,0
CUST_00310,38,17,63.18,0.2,36,4,Silver,0,1074.06,0
CUST_00311,230,36,267.1,0.19,66,0,Bronze,1,9615.6,0
CUST_00312,51,47,381.62,0.03,78,6,Bronze,0,17936.14,0
CUST_00313,264,26,173.98,0.33,8,1,Bronze,0,4523.48,0
CUST_00314,283,48,195.77,0.02,67,5,Bronze,0,9396.96,1
CUST_00315,27,21,467.73,0.5,99,2,Bronze,0,9822.33,0
CUST_00316,226,13,114.38,0.51,27,5,Bronze,0,1486.94,0
CUST_00317,277,9,60.84,0.05,34,8,Silver,1,547.56,1
CUST_00318,286,11,178.27,0.24,28,5,Bronze,0,1960.97,1
CUST_00319,97,11,375.5,0.83,31,0,Bronze,1,4130.5,0
CUST_00320,284,6,316.78,0.46,17,5,Bronze,0,1900.68,1
CUST_00321,317,1,213.74,0.43,83,2,Gold,0,213.74,1
CUST_00322,304,6,482.73,0.7,55,3,Bronze,1,2896.38,0
CUST_00323,147,13,370.15,0.71,75,3,Silver,0,4811.95,0
CUST_00324,4,22,40.31,0.76,9,8,Bronze,0,886.82,0
CUST_00325,35,31,374.87,0.83,94,7,Bronze,1,11620.97,0
CUST_00326,192,22,21.78,0.23,57,6,Bronze,1,479.16,0
CUST_00327,49,37,328.66,0.07,45,4,Bronze,0,12160.42,0
CUST_00328,17,47,113.14,0.38,6,9,Bronze,0,5317.58,0
CUST_00329,172,27,351.26,0.86,14,3,Bronze,0,9484.02,0
CUST_00330,220,14,161.79,0.08,31,2,Bronze,0,2265.06,1
CUST_00331,158,47,437.77,0.58,54,0,Bronze,0,20575.19,0
CUST_00332,46,5,175.09,0.7,11,8,Bronze,0,875.45,0
CUST_00333,6,36,313.65,0.48,69,7,Bronze,1,11291.4,0
CUST_00334,99,32,150.1,0.26,95,0,Bronze,0,4803.2,0
CUST_00335,233,34,459.44,0.33,2,1,Gold,0,15620.96,0
CUST_00336,37,7,392.69,0.07,17,0,Bronze,0,2748.83,0
CUST_00337,280,42,129.22,0.29,36,0,Silver,0,5427.24,0
CUST_00338,349,48,474.91,0.04,3,8,Bronze,0,22795.68,1
CUST_00339,302,10,185.01,0.73,63,4,Gold,0,1850.1,1
CUST_00340,181,17,329.41,0.9,43,2,Bronze,0,5599.97,0
CUST_00341,95,30,374.0,0.63,93,1,Bronze,0,11220.0,0
CUST_00342,99,21,21.22,0.66,33,7,Bronze,0,445.62,0
CUST_00343,188,13,479.89,0.47,78,7,Bronze,0,6238.57,0
CUST_00344,116,1,178.78,0.16,29,5,Silver,0,178.78,1
CUST_00345,191,1,102.99,0.01,23,1,Bronze,0,102.99,1
CUST_00346,253,47,426.85,0.34,59,0,Bronze,0,20061.95,0
CUST_00347,161,33,354.42,0.75,81,5,Bronze,1,11695.86,0
CUST_00348,256,38,52.5,0.96,49,0,Bronze,0,1995.0,0
CUST_00349,323,25,67.35,0.43,55,5,Bronze,1,1683.75,0
CUST_00350,128,26,360.44,0.37,75,9,Bronze,1,9371.44,0
CUST_00351,18,13,46.64,0.45,28,1,Bronze,0,606.32,0
CUST_00352,281,28,459.42,0.43,71,6,Bronze,0,12863.76,1
CUST_00353,223,33,373.35,0.63,72,9,Bronze,0,12320.55,0
CUST_00354,54,37,174.39,0.73,93,1,Silver,0,6452.43,0
CUST_00355,58,41,187.84,0.78,25,1,Bronze,0,7701.44,0
CUST_00356,323,30,258.18,0.65,7,5,Gold,0,7745.4,0
CUST_00357,360,49,186.88,0.44,86,3,Bronze,0,9157.12,0
CUST_00358,174,48,393.9,0.95,73,5,Bronze,1,18907.2,0
CUST_00359,280,8,487.62,0.71,75,7,Bronze,0,3900.96,1
CUST_00360,114,49,296.42,0.43,34,9,Bronze,0,14524.58,0
CUST_00361,288,47,228.56,0.45,91,2,Bronze,0,10742.32,0
CUST_00362,342,1,119.16,0.82,22,4,Silver,0,119.16,1
CUST_00363,151,12,330.18,0.44,67,4,Gold,0,3962.16,0
CUST_00364,127,5,345.93,0.52,50,9,Bronze,1,1729.65,0
CUST_00365,155,24,345.74,0.29,48,8,Gold,0,8297.76,0
CUST_00366,273,6,23.22,0.84,72,6,Bronze,0,139.32,0
CUST_00367,104,25,450.57,0.52,70,8,Bronze,0,11264.25,0
CUST_00368,299,1,175.67,0.55,57,7,Silver,0,175.67,1
CUST_00369,246,25,374.64,0.88,25,2,Bronze,0,9366.0,0
CUST_00370,176,1,382.31,0.92,66,1,Bronze,0,382.31,0
CUST_00371,39,32,328.77,0.82,16,2,Silver,1,10520.64,0
CUST_00372,170,42,203.48,0.07,58,5,Gold,0,8546.16,0
CUST_00373,247,42,308.11,0.44,41,9,Bronze,0,12940.62,0
CUST_00374,26,3,29.7,0.34,51,3,Bronze,0,89.1,0
CUST_00375,355,49,383.33,0.21,21,0,Gold,0,18783.17,0
CUST_00376,306,19,58.8,0.91,79,9,Silver,0,1117.2,0
CUST_00377,13,43,204.41,0.89,56,9,Silver,0,8789.63,0
CUST_00378,316,29,60.77,0.47,98,8,Silver,0,1762.33,1
